################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   4.0358645842532813E-02   1.9687357814663406E-01   1.2142568607570073E-01   1.0450136819981031E-02
         1          2   3.8033584803114522E-02   1.9372905566050894E-01   1.1765192901948629E-01   1.0396810077858825E-02
         1          3   3.3335454613013259E-02   1.8691987757392933E-01   1.0970987869358871E-01   1.0283655916849809E-02
         1          4   2.7354227983611503E-02   1.7715221119931901E-01   9.8851212215987805E-02   1.0102489470261185E-02
         1          5   3.3976600684350365E-03   5.8944839967330458E-02   2.2624879479780875E-02   3.7221327660670526E-03
         1          6   1.5115587190682426E-02   1.5080642558217686E-01   7.2549889337765988E-02   9.3361914817270217E-03
         1          7   2.8426490652274218E-04   1.7616806640585802E-02   4.2788911925455766E-03   1.0478067920977145E-03
         1          8   1.9900492003811303E-06   1.5735841661898180E-03   1.5660605257097115E-04   6.6155580762990195E-05
         1          9   5.0565546830039484E-02   6.1784605882791943E-01   1.8155581087326902E-01   4.6130495867686291E-02
         1         10   4.4046602699219208E-02   5.7808944519808181E-01   1.6236492608063455E-01   4.1266470068659494E-02
         1         11   3.2536652806271521E-02   5.0045606885981975E-01   1.2769117167013774E-01   3.2691268630697580E-02
         1         12   2.0823314099664057E-02   4.0645698353519072E-01   9.0727676981668753E-02   2.3902813081227832E-02
         1         13   6.8505329310187722E-04   8.4096529024456065E-02   6.5759174985517413E-03   2.7834515803724989E-03
         1         14   5.6532776860200862E-03   2.3476434973999735E-01   3.5970092692203678E-02   1.1548281963784641E-02
         1         15   7.2247397233213938E-06   2.3186233277804717E-02   3.5217586404367063E-04   4.1109870312614692E-04
         1         16   2.8655329382224037E-01   4.2823417348476500E+00   2.2957888927236247E+00   6.0850525476225248E-01
         1         17   3.5699082862581144E-01   2.3893852686515817E+00   1.3434229865133616E+00   2.9760624149694642E-01
         1         18   2.4253583906212917E-01   3.2390902211211126E+00   1.6868986335619882E+00   4.3878613380297465E-01
         1         19   3.3542904629093495E-01   1.8321570654269219E+00   1.0387052831327683E+00   2.1344426937735672E-01
         1         20   1.8503709795923420E-01   1.9282750408119291E+00   9.5125119061497987E-01   2.3972828623769701E-01
         1         21   2.8986050983056133E-01   1.1378224667342391E+00   6.7074501555125032E-01   1.1476773561275944E-01
         1         22   1.2998738560021622E-01   1.0888481433286117E+00   4.8735168266357048E-01   1.1847252033455014E-01
         1         23   2.3854599156072026E-01   6.9586614655277157E-01   4.3776106987939184E-01   5.6601795362488237E-02
         1         24   3.8699529374043554E-03   1.1938996442820581E-01   1.9183041129202178E-02   5.5662917157662320E-03
         1         25   2.6264315854344893E-02   1.0903967523744708E-01   6.5974585821253956E-02   5.7435945858126313E-03
         1         26   3.3414952255928575E-02   4.7110002381708893E-01   1.2096718341348126E-01   2.9617605702229138E-02
         1         27   1.2019388793373817E-01   3.2362366678539273E-01   2.3016318349091619E-01   1.8859913989891522E-02
         1         28   4.3577975936225564E-05   3.0730263743930054E-02   8.5959894237254810E-04   6.4454290559629295E-04
         1         29   2.0117247747006399E-03   3.2072765374445762E-02   1.1698298241472270E-02   1.9352213386254736E-03
         1         30   1.3853473119628652E-05   2.8637243729033790E-03   4.1946830540457022E-04   1.4030898780162970E-04
         1         31   1.0595545270776195E-04   9.3645626495014248E-03   1.0692111189234488E-03   4.0875139806881283E-04
         1         32   1.3652191108265146E-03   1.9908634097667358E-02   8.5960732652790185E-03   1.4393442674903139E-03
         1         33   5.0696469656585602E-06   8.0661612684419428E-03   1.5638747289350462E-04   2.0742493243733248E-04
         1         34   1.1463939088148362E-03   1.7196825025105774E-02   7.6832496192490779E-03   1.2367688083817340E-03
         1         35   9.7670114351111549E-04   1.5526625794563646E-02   6.8852302318282320E-03   1.0900983835442129E-03
         1         36   8.3561557071593301E-04   3.9958828762444984E-02   5.9557684481039317E-03   2.6097024524378816E-03
         1         37   1.1414731208041142E-02   8.5264838295882134E-02   3.4817682338634311E-02   7.0598220396577522E-03
         1         38   4.6412519767216797E-05   2.6297337093836571E-02   1.9775720113032616E-03   1.4721738231422055E-03
         1         39   1.0117167079769054E-02   7.1340913081180138E-02   3.0839485901833667E-02   5.9895931781838059E-03
         1         40   9.0187318919628355E-03   6.2484059849153950E-02   2.7656570264184274E-02   5.3361537460901894E-03
         1         41   2.3905486661473506E-08   4.1408766031295757E-02   1.7588173501603188E-02   6.9030885786493896E-03
         1         42   5.7485161297593679E-05   9.5294013586481569E-02   2.5024871433004074E-02   1.2936411449300389E-02
         1         43   3.7937631629716391E-06   7.7547029027844841E-02   1.7865872562822568E-02   7.8258343872410589E-03
         1         44   2.4960312085019903E-02   3.9483363634742069E-01   1.5318407673764275E-01   4.7428264367796902E-02
         1         45   2.2980773998953247E-03   9.0365491538359335E-02   2.0166858293222387E-02   8.9587474574352247E-03
         1         46   2.0814361457387773E-07   2.4643879246559218E-02   6.7794557688111903E-03   3.1357284418828718E-03
         1         47   2.3616425302076971E-02   2.1511927178459297E-01   8.6211986772522425E-02   2.2953625359617154E-02
         1         48   9.3734209417262405E-06   2.4157876224159085E-02   5.0855768701656033E-03   2.9770129994551166E-03
         1         49   6.7292482219397521E-04   2.8004747572681798E-02   4.0639880244440147E-03   1.6058962939429801E-03
         1         50   7.7345280480980933E-03   6.2023556314863539E-02   2.5799313331123466E-02   4.5458382216820416E-03
         1         51   1.3499790328101144E-04   1.0922315444849033E-02   2.4565244433774041E-03   6.4290821809071842E-04
         2          1   1.2291830478496037E-01   3.6715140133908986E-01   2.4285137215140146E-01   1.6358767168060635E-02
         2          2   1.1753765794481076E-01   3.5641787652306856E-01   2.3530385803897264E-01   1.6192626389446987E-02
         2          3   1.0647713748085968E-01   3.3368143233197345E-01   2.1941975738717751E-01   1.5846697199680373E-02
         2          4   9.1880980534014112E-02   3.0228052168552100E-01   1.9770242443197564E-01   1.5353126874921959E-02
