################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.1003757570906590E-01 a         1     0     1     1     1
 -1.6477517398040795E-01 a         2     0     1     1     2
  1.8306368868735645E-01 a         3     0     1     1     3
 -2.0424418925246940E-01 a         4     0     1     1     4
 -5.3875183207699318E-01 a         5     0     1     1     5
 -6.5707583168243633E-01 a         6     0     1     1     6
  5.9892817251184477E-02 a         7     0     1     1     7
  3.9230796307287991E-01 a         8     0     1     1     8
  2.4320804231482401E-01 a         9     0     1     1     9
  1.1996403018245226E-01 a        10     0     1     1    10
  4.4609554977388621E-01 a        11     0     1     1    11
  2.4563316382377648E-01 a        12     0     1     1    12
  2.0904233062894870E-01 a        13     0     1     1    13
 -5.8973853761859274E-01 a        14     0     1     1    14
  3.4170045827382733E-01 a        15     0     1     1    15
 -1.8333334162078114E-03 a        16     0     1     1    16
  2.8393840905314477E-01 a        17     0     1     1    17
 -1.4043955899295456E-02 a        18     0     1     1    18
 -2.0600727968567029E-01 a        19     0     1     1    19
  3.4352070886703878E-01 a        20     0     1     1    20
  1.4851966238968020E-01 a        21     0     2     1     1
  1.8013476104860936E-02 a        22     0     2     1     2
  1.0702045597646515E-01 a        23     0     2     1     3
 -6.3110963752794930E-02 a        24     0     2     1     4
  1.1657381673320576E-01 a        25     0     2     1     5
  1.5424324026672681E-01 a        26     0     2     1     6
 -1.9869119046528086E-01 a        27     0     2     1     7
  9.2037313140650709E-02 a        28     0     2     1     8
  5.0866804474272143E-01 a        29     0     2     1     9
  1.9070519949458789E-01 a        30     0     2     1    10
  1.7283024491773774E-01 a        31     0     2     1    11
  1.2428799269069044E-01 a        32     0     2     1    12
  2.6184207899065742E-01 a        33     0     2     1    13
 -3.6200176530210870E-01 a        34     0     2     1    14
  1.6513706017596905E-01 a        35     0     2     1    15
 -2.0125615548097317E-01 a        36     0     2     1    16
  1.6173079607363938E-03 a        37     0     2     1    17
  3.3724030044298314E-01 a        38     0     2     1    18
  2.0435141388280249E-02 a        39     0     2     1    19
  3.0545274463968203E-01 a        40     0     2     1    20
  3.5147260367866828E-01 a        41     0     3     1     1
  3.3154637509142287E-01 a        42     0     3     1     2
  1.0667827636239670E-01 a        43     0     3     1     3
 -2.8317641817881134E-01 a        44     0     3     1     4
  1.7004762230969420E-01 a        45     0     3     1     5
  1.4918060062028357E-01 a        46     0     3     1     6
  1.7439668885349838E-01 a        47     0     3     1     7
  5.3768513546639363E-01 a        48     0     3     1     8
  4.5887166686839237E-01 a        49     0     3     1     9
 -3.0441601588023903E-01 a        50     0     3     1    10
 -1.5775495306083692E-01 a        51     0     3     1    11
  1.5433574308090892E-01 a        52     0     3     1    12
  1.3821292474713057E-01 a        53     0     3     1    13
 -1.6521222904225402E-01 a        54     0     3     1    14
 -7.4424441889317502E-02 a        55     0     3     1    15
 -1.2434551248577352E-01 a        56     0     3     1    16
  2.6504913842410227E-01 a        57     0     3     1    17
  4.1530772925769427E-01 a        58     0     3     1    18
 -3.7490405324600334E-01 a        59     0     3     1    19
 -2.4287192513447070E-01 a        60     0     3     1    20
 -3.5106427118236178E-01 a        61     0     4     1     1
  2.0589150896894401E-01 a        62     0     4     1     2
  2.1088472090470722E-01 a        63     0     4     1     3
  5.1232800150775271E-01 a        64     0     4     1     4
 -1.5242528134903907E-02 a        65     0     4     1     5
  3.3883469647374648E-01 a        66     0     4     1     6
  1.4177492442945008E-01 a        67     0     4     1     7
  3.5500198564332641E-01 a        68     0     4     1     8
 -2.9867436832082878E-01 a        69     0     4     1     9
 -1.8721741739774894E-01 a        70     0     4     1    10
 -1.4308678347628048E-01 a        71     0     4     1    11
 -3.9855608128630338E-01 a        72     0     4     1    12
  1.8010052903646448E-01 a        73     0     4     1    13
  4.8714753479448825E-01 a        74     0     4     1    14
 -1.8496736362148802E-01 a        75     0     4     1    15
 -1.8307878982251150E-01 a        76     0     4     1    16
 -2.4076346194850523E-01 a        77     0     4     1    17
 -2.4884873671533639E-01 a        78     0     4     1    18
  3.3330860795301337E-01 a        79     0     4     1    19
 -8.5057630690501970E-02 a        80     0     4     1    20
 -8.9588517148840086E-01 a        81     0     5     1     1
  3.4724525292114466E-01 a        82     0     5     1     2
  6.8227193638292313E-02 a        83     0     5     1     3
  1.3791205972913315E-01 a        84     0     5     1     4
 -2.4193502844335760E-01 a        85     0     5     1     5
 -2.9625852094379096E-01 a        86     0     5     1     6
 -6.8950646517505720E-01 a        87     0     5     1     7
 -5.4972190981188651E-01 a        88     0     5     1     8
 -4.7598342258810167E-01 a        89     0     5     1     9
  9.0510768801600319E-02 a        90     0     5     1    10
